age,education_level,career_field,main_sector,employer_type,contract_type,weekly_hours,residence,province,monthly_income_rwf
24,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,24.0,Rural,Eastern Province,20800.0
19,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,24.0,Rural,Eastern Province,20800.0
18,Lower secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,50.0,Urban,Eastern Province,11544.0
19,Primary education,Elementary and other work,Services,Household,Oral agreement,40.0,Urban,Eastern Province,15000.0
20,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Eastern Province,15600.0
23,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,15.0,Rural,Eastern Province,20800.0
26,Primary education,Agriculture,Agriculture,NGO or international organisation,Oral agreement,35.0,Rural,Eastern Province,65000.0
23,Upper secondary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Eastern Province,26000.0
25,Primary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,10.0,Rural,Eastern Province,104000.0
19,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,18.0,Rural,Eastern Province,26000.0
28,Upper secondary education,Sales and services,Services,Private business or VUP,Oral agreement,74.0,Rural,Eastern Province,9000.0
24,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,25.0,Rural,Eastern Province,26000.0
21,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,30.0,Rural,Eastern Province,39000.0
22,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,7.0,Rural,Eastern Province,52000.0
23,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Eastern Province,26000.0
16,Primary education,Elementary and other work,Services,Household,Oral agreement,40.0,Rural,Eastern Province,7000.0
20,Lower secondary education,Skilled trades and operators,Industry,Private business or VUP,Oral agreement,40.0,Rural,Eastern Province,21666.666
19,Primary education,Elementary and other work,Services,Household,Oral agreement,48.0,Rural,Eastern Province,15000.0
21,Lower secondary education,Elementary and other work,Services,Private business or VUP,Oral agreement,42.0,Urban,Eastern Province,20000.0
24,No formal education,Agriculture,Agriculture,Private business or VUP,Oral agreement,36.0,Rural,Eastern Province,26000.0
26,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,21.0,Rural,Eastern Province,26000.0
16,Primary education,Agriculture,Agriculture,Private business or VUP,Oral agreement,18.0,Rural,Eastern Province,20800.0
